Name,Birthday,Country,Years active,Proven victims,Possible victims,Notes,Type
Harold Shipman,1/14/1946,United Kingdom,1975 to 1998,218,250[295],"Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry but is believed to have killed up to 250 people.[296][297] He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison.",Medical
Miyuki Ishikawa,,Japan,1940s,103+,169,Killed more than 103 newborn children. As a maternity nurse she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948 and sentenced to four years in prison.[298],Medical
Niels Högel,12/30/1976,Germany,1999 to 2005,85+,300[299],"Nurse who was sentenced to life imprisonment for the murder of more than 85 people.[300][301] In November 2017, German prosecutors said that the number of victims was at least 106,[302] with Högel admitting, in October 2018, to murdering 100 patients.[11] By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.[299]",Medical
Louay Omar Mohammed al-Taei,,Iraq,2005 to 2006,43,,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.[303]",Medical
Donald Harvey,4/15/1952,United States,1970 to 1987,37,57–87,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.[304],Medical
Jane Toppan,3/31/1854,United States,1885 to 1901,31,,Nurse that confessed to poisoning 31 patients for her own sexual gratification. After overdosing them she would get in bed and lie with them as they died. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.[305],Medical
Stephan Letter,9/17/1978,Germany,2003 to 2004,29,29+,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.[306],Medical
Anders Hansson,,Sweden,1978 to 1979,27,,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).[307]",Medical
Marcel Petiot,1/17/1897,France,1926 to 1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.[308],Medical
Arnfinn Nesset,10/25/1936,Norway,1983 and earlier,22,27–138+,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.[309]",Medical
Roger Andermatt,,Switzerland,1995 to 2001,22,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.[310]",Medical
Charles Cullen,2/22/1960,United States,1988 to 2003,18–29,35–400+,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.[311]",Medical
Sonya Caleffi,7/21/1970,Italy,2003 to 2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[312],Medical
Maxim Petrov,11/14/1965,Russia,2000 to 2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.[313],Medical
Ann Arbor Hospital Killer,,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.[314],Medical
Ludivine Chambet,5/10/1983,France,2012 to 2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.[315]",Medical
Petr Zelenka,2/27/1976,Czech Republic,2006,7,21[316],Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.,Medical
Orville Lynn Majors,4/24/1961,United States,1993 to 1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.[317]",Medical
Efren Saldivar,9/30/1969,United States,1989 to 1997,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.[318]",Medical
Christine Malèvre,1/10/1970,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[319]",Medical
Antoinette Scieri,,France,1924 to 1925,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[320],Medical
Kristen Gilbert,11/13/1967,United States,1990 to 1996,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[321]",Medical
Amy Archer-Gilligan,10/31/1873,United States,1910 to 1917,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[322]",Medical
Michael Swango,10/21/1954,United States Zimbabwe,1981 to 1997,4,35–60+,Medical Doctor who killed patients.[323],Medical
Kermit Gosnell,2/9/1941,United States,1989? to 2011,4,100+,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",Medical
Edson Izidoro Guimarães,,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[324]",Medical
Richard Angelo,8/29/1962,United States,1987,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[325]",Medical
Beverley Allitt,10/4/1968,United Kingdom,1991,4,-,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[326],Medical
Andrés Ulises Castillo Villarreal,,Mexico,2009 to 2015,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[327]",Medical
Elfriede Blauensteiner,1/22/1931,Austria,1981 to 1995,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.[328]",Medical
Carl Eugene Watts,11/7/1953,United States,1974 to 1982,14,80+,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.[119]",
Philipp Tyurin,,Soviet Union,1945 to 1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.[120]",
Zdzisław Marchwicki,10/18/1927,Poland,1964 to 1970,14,21+,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.[121]",
Monster of Florence,,Italy,1968 to 1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.[122][123]",
Joachim Kroll,4/17/1933,West Germany,1955 to 1976,14,,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.[124]",
Arthur Shawcross,6/6/1945,United States,1972 to 1989,14,,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing again a year later, targeting prostitutes. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers,"" he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.[125]",
The Doodler,,United States,1974 to 1975,14,,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.[126]",
Marcelo Costa de Andrade,1/2/1967,Brazil,1991,14,,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,
Julio Pérez Silva,7/15/1963,Chile,1998 to 2001,14,,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.[127],
Sergey Shipilov,5/17/1959,Russia,1995 to 1999,14,,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.[128]",
Abdufatto Zamanov,4/7/1973,Russia,2002 to 2004,14,,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.[129],
Jeong Nam-gyu,3/1/1969,South Korea,2004 to 2006,14,,"Kidnapped, raped and murdered people; committed suicide.[130]",
Amir Qayyum,,Pakistan,2005,14,,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.[131]",
Jake Bird,12/14/1901,United States,1930s to 1947,13,44,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others.[132] Executed by hanging in 1949.,
Belle Gunness,11/22/1859,United States,1900? to 1908?,13,40+,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own.[133] Ultimate fate unknown.",
Cleveland Torso Murderer,,United States,1934 to 1938,13,40+,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.[134]",
Kaspars Petrovs,,Latvia,2003,13,38+,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.[135]",
Richard Ramirez,2/29/1960,United States,1984 to 1985,13[136],20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"".[136][137] Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",
Sleepy Hollow Killer,,South Africa South Africa,1990s to 2007,13,16+,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.[138]",
Peter Sutcliffe,6/2/1946,United Kingdom,1975 to 1980,13,15,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper.""[139] Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he will never be released. In 2015, he was declared ""no longer mentally ill,"" and transferred to a maximum security prison.",
Francisco Antonio Laureana,,Argentina,1974 to 1975,13,13+,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.[140]",
Tamara Samsonova,4/25/1947,Russia,1995 to 2015,13,13+,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.[141][142]",
Herbert Mullin,4/18/1947,United States,1972 to 1973,13,,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.[143]",
Boston Strangler,,United States,1962 to 1964,13,,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession.[144] Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.",
Lorenzo Gilyard,5/24/1950,United States,1977 to 1993,13,,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.[145]",
Vladimir Storozhenko,,Soviet Union,1978 to 1981,13,,"Known as the ""Smolensky Strangler""; tortured and murdered women for sexual pleasure; four other inncent men were initially convicted for his crimes; executed 1984.[146]",
Vasiliy Kulik,1/17/1956,Soviet Union,1984 to 1986,13,,Known as the Irkutsk Monster;[147] killed at least 13 victims from 1984–1986. Executed by firing squad in 1989.,
Nikolai Dudin,12/22/1973,Soviet Union Russia,1987 to 2002,13,,"Known as the ""Grim Maniac""; killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.[148]",
Denis Pischikov,3/12/1983,Russia,2002 to 2003,13,,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.[149]",
Nikolay Shubin,,Russia,2004 to 2006,13,,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.[150],
Johannes Mashiane,,South Africa,1982 to 1989,13,,"Known as ""The Beast of Atteridgeville"", he was found guilty of 13 counts of murder and 12 counts of sodomy from 1982–1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.[151]",
Mukosi Freddy Mulaudzi,,South Africa South Africa,1990 to 2006,13,,"Known as ""The Limpopo Serial Killer""; escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.[152]",
Thozamile Taki,,South Africa,2007,13,,"Known as the ""Sugar cane serial killer"",[153] he murdered 13 women. Convicted in 2010.",
Rainbow Maniac,,Brazil,2007 to 2008,13,,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.[154]",
Naceur Damergi,,Tunisia,1980s to 1988,13,,Raped and killed minors in the Nabeul region; executed by hanging in 1990.[155],
Adolf Seefeldt,3/6/1870,German Empire Weimar Republic Nazi Germany,1908 to 1935,12,100,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total.[156] Executed by guillotine in 1936.",
Donald Henry Gaskins,3/13/1933,United States,1953 to 1982,12,31–80+,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991.[157][self-published source]",
William Suff,8/20/1950,United States,1986 to 1992,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.[158]",
Vladimir Romanov,,Soviet Union Russia,1991 to 2005,12,20,"Known as the ""Kaliningrad Maniac""; pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.[159]",
Maury Travis,10/25/1965,United States,2000 to 2002,12,17,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.[160],
Dennis Nilsen,11/23/1945,United Kingdom,1978 to 1983,12,15–16[161],"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home.[162] Died from surgical complications in 2018.",
Kenneth Bianchi,5/22/1951,United States,1977 to 1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"".[163] Sentenced to imprisonment for life.",
Charles Sobhraj,4/6/1944,Thailand   Nepal India Malaysia,1975 to 1976,12,13,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.[164]",
Abdallah al-Hubal,,Yemen,1990 to 1998,12,,"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.[165]",
Nikolai Shestakov,,Soviet Union,1975,12,,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977.[166]",
Anatoly Sedykh,4/20/1963,Russia,1998 to 2003,12,,"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment.[167]",
Joseph Christopher,7/26/1955,United States,1980 to 1981,12,,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.[168]",
"""Paraquat murders"" killer",,Japan,1985,12,,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,
Enriqueta Martí,,Spain,c.1900 to 1912,12,Unknown,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.[169]",
Herb Baumeister,4/7/1947,United States,1990 to 1996,11–16,25+,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.[170],
John Bunting,,Australia,1992 to 1999,11,,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.[171],
Sergey Golovkin,11/26/1959,Soviet Union Russia,1986 to 1992,11,40+,Killed at least 11 boys in the Moscow area between 1986 and 1992.[172] Executed by gunshot in 1998; last person executed in Russia before the death penalty was abolished.,
Juana Barraza,12/27/1957,Mexico,late 1990s to 2006,11,29–49,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.[173],
Zhang Yongming,,China,2008 to 2012,11,17–20,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.[174],
Jack Unterweger,8/16/1951,Austria United States Czechoslovakia,1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.[175]",
Vaughn Greenwood,,United States,1964 to 1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.[176]",
Benjamin Atkins,8/26/1968,United States,1991 to 1992,11,,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.[177]",
Nannie Doss,11/4/1905,United States,1927 to 1954,11,,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.[178]",
Clifford Olson,1/1/1940,Canada,1980 to 1981,11,,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected.[179] Died from cancer in 2011.",
Henri Désiré Landru,4/12/1869,France,1915 to 1919,11,Unknown,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.[180]",
West Mesa Killer,,United States,2003 to 2005,11,,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.[181]",
Anthony Sowell,8/19/1959,United States,2007 to 2009,11,Unknown,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.[182]",
Andre Crawford,3/20/1962,United States,1993 to 1999,11,,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.[183],
Francisco García Escalero,5/24/1948,Spain,1987 to 1994,11,,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994.[184] Died in 2014.",
Robledo Puch,1/22/1952,Argentina,1971,11,,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.[185],
Adnan Çolak,9/5/1952,Turkey,1992 to 1995,11,,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,
Seisaku Nakamura,,Japan,1938 to 1942,11,,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having being born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.[186]",
Very Idham Henyansyah,2/1/1978,Indonesia,2008 and earlier,11,,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.[187]",
Francisco de Assis Pereira,11/29/1967,Brazil,1997 to 1998,11,,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.[188]",
Roshu Kha,,Bangladesh,2008,11,,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.[189],
Gao Chengyong,11/10/1964,China,1998 to 2002,11,,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses.[190] Executed in 2019.",
Marie Alexandrine Becker,7/14/1879,Belgium,1933 to 1936,11,,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,
Ruslan Khamarov,,Ukraine,2000 to 2003,11,,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.[191]",
Yevgeny Petrov,12/17/1975,Russia,1998 to 2003,11,,"Known as the ""Novouralsk Ripper""; pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.[192]",
Rudolf Pleil,7/7/1924,West Germany,1946 to 1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25.[193] Committed suicide by hanging in 1958.",
Milton Johnson,5/15/1950,United States,1983,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people.[194] Sentenced to life without parole.",
Long Island serial killer,,United States,1996 to 2011,10,14,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.[195]",
