Name,Birthday,Country,Years active,Proven victims,Possible victims,Notes,Type
Daniel Lee Siebert,6/17/1954,United States,1979 to 1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim.[196] Sentenced to death; died from cancer in prison in 2008.,
Joseph James DeAngelo,,United States,1979 to 1986,12,,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him.[197]",
Lonnie David Franklin Jr.,8/30/1952,United States,1985 to 2007,10,25[198][199][200],"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.[198][199][200]",
Sergey Cherny,5/11/1977,Russia,1999,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.[201],
Bobby Joe Long,10/14/1953,United States,1984,10,10+,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.[202]",
Stewart Wilken,11/11/1966,South Africa,1990 to 1997,10,10+,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990–1997. Sentenced to seven life terms.[203]",
David Randitsheni,,South Africa,2004 to 2008,10,10+,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.[204]",
Edmund Kemper,12/18/1948,United States,1964 to 1973,10,,"Called ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.[205]",
Dennis Rader,3/9/1945,United States,1974 to 2004,10,,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years.[206]",
Ali Kaya,,Turkey,1997 to present,10,,"Known as ""the baby faced killer""; responsible for 10 murders. Escaped from prison and later recaptured.[207]",
Robert Wagner,,Australia,1992 to 1999,10,,Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.[171],
Jeanne Weber,10/7/1874,France,1905 to 1908,10,,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.[208],
Henry Louis Wallace,11/4/1965,United States,1990 to 1994,10,,"Confessed to 10 murders in Charlotte, North Carolina. The victims were all women that he knew.[209] Sentenced to death.",
Angelo Buono Jr.,10/5/1934,United States,1977 to 1979,10,,"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002.[210]",
Satish,,India,1995 to 1998,10,,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police.[211]",
Zhou Kehua,2/6/1970,China,2004 to 2012,10,,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.[212]",
Kang Ho-sun,10/10/1969,South Korea,2006 to 2008,10,,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.[213]",
Eduard Shemyakov,9/30/1975,Russia,1996 to 1998,10,,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.[214]",
Oleg Kuznetsov,4/30/1969,Soviet Union Russia Ukraine,1991 to 1992,10,,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.[215]",
Stanislav Rogolev,2/14/1941,Soviet Union,1980 to 1982,10,,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.[216]",
Volker Eckert,7/1/1959,West Germany Germany France Spain Czech Republic (suspected) Italy (suspected),1974 to 2006,9–13,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.",
Louis van Schoor,,South Africa,1986 to 1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.[217]",
Peter Kürten,5/26/1883,German Empire Weimar Germany,1913 to 1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.[218]",
Roger Dale Stafford,11/4/1951,United States,1974 to 1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.[219]",
Norman Afzal Simons,1/12/1967,South Africa,1986 to 1994,9,22,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town.[220] Sentenced to imprisonment for life.",
Francis Heaulme,2/25/1959,France,1984 to 1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.[221]",
Joel Rifkin,1/20/1959,United States,1989 to 1993,9,17,"Known as ""The Drifter"",[222] killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",
Dagmar Overbye,4/23/1887,Denmark,1913 to 1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft.[223] Died in prison in 1929.",
Kenneth McDuff,3/21/1946,United States,1966 to 1992,9,14+,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.[224]",
Robert Joseph Silveria Jr.,3/3/1959,United States,1981 to 1996,9,14+,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.[225]",
Richard Biegenwald,8/24/1940,United States,1958 to 1983,9,11+,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders.[226] Died of respiratory and kidney failure in 2008.",
Alexander Bychkov,4/1/1988,Russia,2009 to 2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.[227],
New Bedford Highway Killer,,United States,1988 to 1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.[228],
Maryvale serial shooter,,United States,2015 to 2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.[229]",
Viktor Fokin,2/19/1935,Russia,1996 to 2000,9,10+,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.[230]",
Edgecombe County Serial Killer,,United States,2000s,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.[231]",
Joseph Paul Franklin,4/13/1950,United States,1977 to 1980,8–15,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.[232],
Yoshio Kodaira,1/28/1905,China Japan,1928? to 1946,8–11+,Unknown,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.[233]",
Keith Hunter Jesperson,4/6/1955,United States,1990 to 1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.[234]",
Rodney Alcala,8/23/1943,United States,1971 to 1979,8,130+,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",
Kiyotaka Katsuta,8/29/1948,Japan,1982 to 1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.[235]",
Pierre Chanal,11/18/1946,France,1980 to 1988,8,17,Military instructor suspected of killing boys and men in Marne; committed suicide before trial.[236],
Christopher Wilder,3/13/1945,United States,1984,8,13+,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.[237],
Axeman of New Orleans,,United States,1918 to 1919,8,12+,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.[238],
Vladimir Retunsky,,Russia,1990 to 1996,8,12,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.[239]",
Gilbert Paul Jordan,12/12/1931,Canada,1965 to 1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.[240]",
Nikolai Dzhumagaliev,11/15/1952,Soviet Union,1980 and earlier,7,50–100,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.[241],
Manuel Delgado Villegas,1/25/1943,Spain France (claimed) Italy (claimed),1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.[242]",
Ershad Sikder,5/10/2004,Bangladesh,1991 to 1999,7,43+,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.[243],
Ivan Milat,12/27/1944,Australia,1990s,7,23–37,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.[244],
Michael Wayne McGray,7/11/1965,Canada United States,1980s to 2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.[245]",
Kenneth Erskine,7/1/1963,United Kingdom,1986,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.[246]",
David Carpenter,5/6/1930,United States,1979 to 1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.[247]",
Vladimir Kuzmin,9/14/1965,Russia,1997,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.[248]",
Bruce McArthur,10/8/1951,Canada,2008 to 2017,7,10–100,"Gay serial murderer and rapist who would target homosexual men, and hide their bodies in garden planters.[249]",
Tommy Recco,,France,1960 to 1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.[250]",
Ohio Prostitute Killer,,United States,1981 to 2004,7,10,"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018.[251][252]",
Derrick Todd Lee,11/5/1968,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.[253]",
Tomás Maldonado Cera,,Colombia,2002 to 2018,7,10,"Known as ""The Satanist""; killed people in Barranquila for the purpose of satanic rituals.[254]",
David Berkowitz,6/1/1953,[[United States| United States]],1976 to 1977,6,,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver.  He was caught when an eyewitness to his last murder saw he had a parking ticket on his car.  He was sentenced to life in prison with parole in 1978.[255]",
Tommy Lynn Sells,6/28/1964,United States,1980 to 1999,6,70?,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.[256],
Władysław Mazurkiewicz,1/31/1911,Poland,1950s,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.[257]",
Gong Runbo,,China,2005 to 2006,6,20+,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.[258],
Cristopher Chávez Cuellar,,Colombia,1990s to 2015,6,15+,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.[259]",
András Pándy,6/1/1927,Belgium,1986 to 1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.[260]",
John Wayne Glover,11/26/1932,Australia,1989 to 1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.[261]",
Alexander Sergeychik,,Belarus,2000 to 2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.[262],
Adrián Arroyo Gutiérrez,,Costa Rica,2014 to 2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted prostitutes in San José; sentenced to 110 years imprisonment.[263]",
Joseph Naso,1/7/1934,United States,1977 to 1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.[264]",
Terry Peder Rasmussen,12/23/1943,United States,1978 to 2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.[265]",
Richard Cottingham,11/25/1946,United States,1977 to 1980,5,85–100,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.[266]",
Zodiac Killer,,United States,1962 to 1977,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.[267],
John Floyd Thomas Jr.,7/26/1936,United States,1957 to 2009,5,17–25,Serial murderer and rapist with one of the longest criminal careers in the US.[268],
Carl Panzram,6/28/1891,United States Portuguese Angola,1915 to 1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.[269]",
Steve Wright,4/24/1958,United Kingdom,2006,5,5–22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous Suffolk prostitute killings.[270]",
Michel Peiry,5/1/1959,Switzerland France United States Yugoslavia (suspected) Italy (suspected),1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.[271]",
Hubert Pilčík,10/14/1891,Czechoslovakia,1948 to 1951,5,10+[272],"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",
Tom Dillon,7/9/1950,United States,1989 to 1992,5,,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,
Joe Metheny,3/2/1955,United States,1976 to 1996,5,10,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.[273]",
Karl Denke,2/11/1860,German Empire  Germany,1900 to 1924,30,42+,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.[42]",
Francisco das Chagas Rodrigues de Brito,,Brazil,1989 to 2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.[43]",
Luis Gregorio Ramírez Maestre,9/30/1980,Colombia,2010 to 2013,30,30,Killed motorists in various municipalities before his 2012 capture.[44],
David Thabo Simelane,,Swaziland,2000 to 2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.[45]",
Zhang Jun,8/5/1966,China,1993 to 2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.[46]",
Cedric Maake,,South Africa,1996 to 1997,27,35+,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.[47]",
Mariam Soulakiotis,,Greece,1939 to 1951,27,27+,"Known as ""The Woman Rasputin""; convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. She officially murdered 27 and killed an additional 150 children through neglect.[48]",
Bruce George Peter Lee,7/31/1960,United Kingdom,1973 to 1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.[49]",
The Stoneman,,India,1985 to 1989,25,25+,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.[50]",
Juan Corona,2/7/1934,United States,1971,25,25+,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment.[51] Died from natural causes in 2019.,
Fritz Haarmann,10/25/1879,Germany,1918 to 1924,24,27+,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.[52]",
Béla Kiss,,Hungary,1912 to 1916,24,24+,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.[53]",
Majid Salek Mohammadi,,Iran,1981 to 1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.[54]",
Yvan Keller,12/13/1960,France Germany (suspected)  Switzerland (suspected),1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.[55]",
Ronald Dominique,1/9/1964,United States,1997 to 2006,23,23+,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.[56]",
Juan Fernando Hermosa,2/28/1976,Ecuador,1991 to 1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.[57]",
Earle Nelson,5/12/1897,United States Canada,1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.[58]",
Mikhail Novosyolov,,Soviet Union Russia Tajikistan,1977 to 1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.[59]",
Manuel Octavio Bermúdez,10/15/1961,Colombia,1999 to 2003,21,50+,"Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia.[60] Sentenced to 40 years in prison.",
Patrick Kearney,9/24/1939,United States,1965 to 1977,21,43+,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them.[61] Sentenced to imprisonment for life.",
William Bonin,1/8/1947,United States,1979 to 1980,21,36+,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.[62]",
Vasile Tcaciuc,,Romania,1917 to 1935,21,26+,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.[63],
Yoo Young-chul,4/18/1970,South Korea,2003 to 2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession.[64] Was sentenced to death and currently incarcerated.[65][66]",
Francisco Guerrero Pérez,,Mexico,1880 to 1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.[67]",
Abdullah Shah,,Afghanistan,1990s,20,20+,Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.[68],
José Paz Bezerra,,Brazil,1960s to 1970s,20,20+,"Known as the ""Morumbi Monster""; sexually violated, tortured and then murdered at least 20 women in São Paulo and Pará; sentenced to 30 years imprisonment and later released in 2001.[69]",
Bulelani Mabhayi,,South Africa,2007 to 2012,20,20,"Known as the ""Monster of Tholeni""; killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment.[70]",
Mohan Kumar,,India,2005 to 2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.[71]",
Alexander Spesivtsev,3/1/1970,Russia,1991 to 1996,19,82+,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.[72]",
